latitude,longitude,name
50.808245,4.435562,TRANSVAAL
50.852841,4.482745,KERKWEZEMBEEK
50.816646,4.425399,OUDERGEM-SHOP.
50.839497,4.494766,STIJNSTREUVELS
50.885712,4.308952,UZ-VUB
50.835757,4.495693,OPPEM
50.835493,4.380861,VIJVERS
50.814107,4.339161,COGHEN
50.792217,4.359036,DEWANSIJN
50.845754,4.403994,VERGOTE
50.863999,4.366694,LIEDTS
50.886729,4.311452,UZBRUSSEL
50.81033,4.435664,HEILIGHART
50.803597,4.342061,HELDEN
50.811842,4.432488,SCHOONEJANS
50.859349,4.344522,SAINCTELETTE
50.823982,4.400869,KRIJGSKUNDE
50.828587,4.315907,HERMES
50.860517,4.340558,RIBAUCOURT
50.863052,4.347176,SUZANDANIEL
50.872802,4.328702,LEOPOLDI
50.845003,4.351728,GROTEMARKT
50.858268,4.336469,MERCHTEM
50.875999,4.318701,EEUWFEESTSQUARE
50.857124,4.33165,ZWARTEVIJVERS
50.818644,4.298266,DUIVENMELKERS
50.880061,4.315951,TENTOONSTELLING
50.832776,4.395098,ELFNOVEMBER
50.820497,4.299327,ACHTUREN
50.827185,4.418216,VOGELZANG
50.893478,4.319755,DEHEYN
50.832932,4.432063,TRAMMUSEUM
50.849131,4.369931,MADOU
50.89384,4.331185,STADION
50.831355,4.452487,BOSSTRAAT
50.852949,4.391801,RADIUM
50.832614,4.463859,PADDOCK
50.847919,4.407745,LEVIE
50.841533,4.449168,DONBOSCO
50.826393,4.396727,ARSENAAL
50.848617,4.417628,HEYDENBERG
50.832914,4.446811,MAREYDE
50.908554,4.39545,MERCATOR
50.820617,4.409552,SINT-JULIAANSKERK
50.855498,4.428174,GULLEDELLE
50.828542,4.462659,SINT-ALEIDIS
50.819105,4.414816,VANDROMME
50.836069,4.412945,LEOPOLDII
50.830997,4.418305,ATLANT.OCEAAN
50.832883,4.398917,KON.OVERWINNAAR
50.835924,4.356089,LOUIZA
50.839842,4.369371,WETENSCHAP
50.79192,4.351576,DROSSAARD
50.834405,4.37815,VARIA
50.884648,4.322212,BONAVENTURE
50.85421,4.36151,SAINT-LOUIS
50.875097,4.313015,OCMWGANSHOREN
50.846716,4.442702,KLAKKEDELLE
50.830855,4.373536,MALIBRAN
50.812483,4.428388,HERRMANN-DEBROUX
50.812034,4.367336,LONGCHAMP
50.809738,4.365162,MONTJOIE
50.871086,4.330171,FIRMINLECHARLIER
50.814561,4.281457,BEGR.ANDERLECHT
50.803796,4.361786,FLORIDA
50.852141,4.481977,GEBUREN
50.784248,4.332705,VLEESKERSEN
50.803921,4.349047,BEELDHOUWERS
50.789013,4.334445,ENGELAND
50.773632,4.335874,DAPPEREN
50.800255,4.318326,NEERSTALLE
50.78091,4.332439,NOORDKRIEKEN
50.776441,4.334839,OUDEWEG
50.797648,4.336207,RITTWEGER
50.837065,4.38664,LEMAN
50.793728,4.363929,SINT-JOBPLEIN
50.83435,4.388044,LOUISHAP
50.839217,4.363777,NAAMSEPOORT
50.828736,4.407927,BARONDECASTRO
50.80056,4.3373,GLOBE
50.826613,4.411843,NIJVELSEDREEF
50.895751,4.388617,PETERBENOIT
50.833278,4.423319,MOSTINCK
50.803864,4.399607,DRIES
50.831355,4.438022,KELLE
50.804852,4.426364,TENREUKEN
50.851204,4.451656,CLINIQUES-UCL
50.842247,4.456538,HERENDAL
50.850255,4.458513,MOUNIER
50.842081,4.450887,KONKEL
50.89631,4.329465,KONINGBOUDEWIJN
50.836926,4.467474,BERKEN
50.84775,4.345878,SINT-GORIK
50.858405,4.318501,KARREVELD
50.841094,4.459887,GERSIS
50.828191,4.393776,BUEDTS
50.825841,4.456976,VANDERMEERSCHEN
50.80913,4.427589,SENY-PARK
50.829285,4.455393,MANOIRD'ANJOU
50.866227,4.358283,DESTOUVELLES
50.894753,4.391357,OORLOGSKRUISEN
50.835745,4.37717,MUSEUM
50.891237,4.3838,BOOMGAARD
50.867252,4.372886,COLIGNON
50.855967,4.383582,BREMER
50.82502,4.41529,MEEUWEN
50.795803,4.372407,DIESDELLE
50.780305,4.349198,PASTEUR
50.811716,4.357429,CAVELL
50.833027,4.375441,BLYCKAERTS
50.831242,4.309655,DEMOCRATIE
50.877616,4.409348,BORDETSTATION
50.806358,4.357586,LANGEVELD
50.863234,4.356932,GLIBERT
50.792451,4.374226,RACING
50.789637,4.374878,FORT-JACO
50.786822,4.376323,BRAAMSTRUIKEN
50.823578,4.367622,VLEURGAT
50.784311,4.37835,VANBEVER
50.882396,4.335686,GUILL.DEGREEF
50.781196,4.380889,PRINSVANORANJE
50.846406,4.357819,CENTRAALSTATION
50.779147,4.36532,HEILIGVERBOND
50.78698,4.330689,HORZEL
50.77961,4.338295,HOMBORCH
50.831505,4.443601,MERTENS
50.782373,4.35684,MARENTAK
50.77804,4.354289,VERREWINKEL
50.776272,4.342435,GEITJES
50.870326,4.305265,PAMPOEL
50.779087,4.332411,MOENSBERGSTATION
50.872878,4.314714,NEREUS
50.889412,4.322303,BOLLIEENBILLIE
50.791224,4.332898,UKKELKALEVOET
50.794343,4.3343,JEANNEHERREMAN
50.907479,4.400449,DEBEJAR
50.804317,4.354863,ZEECRABBE
50.876904,4.342176,EMILEDELVA
50.868582,4.389962,TERDELT
50.811069,4.362608,GOSSART
50.81604,4.367006,BASCULE
50.821452,4.366581,VANEYCK
50.846143,4.342782,WASHUIS
50.869824,4.371196,PAVILJOEN
50.855501,4.395892,MEISER
50.825848,4.369774,BIARRITZ
50.832176,4.302036,MEIR
50.905632,4.402999,ANTOONVANOSS
50.837022,4.318582,KUREGEM
50.839207,4.323336,ALBERTI
50.818551,4.427289,VORSTRONDPUNT
50.85242,4.351157,BEGIJNHOF
50.843431,4.354454,BIBLIOTHEEK
50.859189,4.354777,NICOLAY
50.862491,4.457457,SINT-ANTONIUS
50.817394,4.366481,PATTON
50.860156,4.454896,ANNECY
50.852563,4.455372,DUNETTE
50.889968,4.414876,STAT.HAREN-ZUID
50.853935,4.44343,THIRY-WOLUWE
50.806357,4.366364,RENEGOBERT
50.864124,4.456697,THUMAS
50.868313,4.353197,STAPELHUIS
50.805452,4.32734,DECROLY
50.894356,4.382654,ZAVELPUT
50.902785,4.398081,TRASSERSWEG
50.801644,4.39691,FUTAIE
50.833457,4.295192,BRACOPS-ZIEKENH.
50.872853,4.358097,CLAESSENS
50.776788,4.33909,GODSHUIZEN
50.827158,4.344041,BAREEL
50.809788,4.399271,WATERMAALSTATION
50.818916,4.378789,BUYL
50.85284,4.452738,UCLSAINT-LUC
50.907492,4.388708,MILITAIRHOSP.
50.899117,4.39896,GROENWEG
50.891066,4.380166,GEMENEBEEMDEN
50.879536,4.375408,DOCKSBRUXSEL
50.867265,4.380029,VOLTAIRE
50.835428,4.298979,DELINDE
50.806255,4.400659,BIEN-FAIRE
50.827635,4.366478,DAUTZENBERG
50.866116,4.453828,VIADUCTE40
50.890678,4.32992,STIENON
50.817163,4.354632,GEORGESBRUGMANN
50.808086,4.357071,BRUNARD
50.850663,4.454183,AUDITOIRES-UCL
50.825332,4.33862,COMBAZ
50.844731,4.338892,ANDERLECHTSEPOORT
50.821348,4.334025,LAINE
50.778634,4.373884,NAPOLEON
50.802945,4.330492,ELZEBOOM
50.800361,4.327532,VICTORALLARD
50.86909,4.316014,DELHOVE
50.848221,4.472851,KRAAINEM-SHOPPING
50.853057,4.424597,ANDROMEDA
50.889061,4.335045,POLIKL.BRUGMANN
50.841816,4.329864,CLEMENCEAU
50.782011,4.341228,GAZELLE
50.864943,4.380714,CROSSING
50.869411,4.363255,MASUI
50.869429,4.321787,SIMPSON
50.835713,4.312224,VERZET
50.854993,4.306065,CANDRIES
50.822306,4.322642,GERIJ
50.821725,4.405707,HANKAR
50.881205,4.373115,VANPRAET
50.841454,4.303457,JAKOBSMITS
50.834096,4.335818,ZWEDEN
50.890381,4.391322,LINKEROEVER
50.870759,4.361337,JULESDETROOZ
50.831389,4.332229,KONINGSLAAN
50.824159,4.325394,WIELS
50.895882,4.395191,BOSDUIF
50.823497,4.316113,EILANDST-HELENA
50.808098,4.33713,BENS
50.872416,4.297737,BASILIX
50.847402,4.299103,PRINSVANLUIK
50.888513,4.375106,HEEMBEEK
50.874909,4.363098,MABRU
50.908554,4.406614,BUDA
50.815052,4.266326,ERASMUS
50.843561,4.33398,LIVERPOOL
50.816904,4.279004,EDDYMERCKX
50.825555,4.288086,MARTINLUTH.KING
50.814722,4.332667,DUDEN
50.849859,4.360204,DEBERLAIMONT
50.810676,4.329038,DOMEIN
50.828805,4.303346,ARISTIDEBRIAND
50.796599,4.309433,LANGESTRAAT
50.826586,4.304877,VANKALKEN
50.821824,4.283943,MARIECURIE
50.869537,4.367204,STEPHENSON
50.816051,4.27466,MIJLENMEERS
50.853841,4.417309,PLEJADEN
50.807323,4.326279,FORESTOISE
50.807026,4.32846,GATTIDEGAMOND
50.890867,4.346055,SINT-LAMBERTUS
50.821115,4.3378,KEMMELBERG
50.824414,4.33601,ROCHEFORT
50.879096,4.332662,ONTMIJNERS
50.858628,4.311245,BEGR.MOLENBEEK
50.87137,4.376768,VERBOEKHOVEN
50.856955,4.308918,LEROY
50.848168,4.356484,ARENBERG
50.839594,4.3061,SCHOONHEID
50.84433,4.378052,MAALBEEK
50.838895,4.309863,BROEREN
50.81597,4.429216,BERGOJE
50.834784,4.332879,VICTORHORTAPLEIN
50.816381,4.434921,TWEESTEENWEGEN
50.881239,4.348305,KARELBOGAERD
50.809854,4.324406,VORSTNATIONAAL
50.828952,4.329179,DRUKKERIJ
50.901262,4.355632,BERGDAL
50.827135,4.327179,ORBAN
50.866066,4.384904,LOUISBERTRAND
50.799283,4.379135,GENDARMEN
50.877652,4.347042,BOCKSTAEL
50.867468,4.386353,LATINIS
50.801459,4.373603,GROENEJAGER
50.791613,4.342868,HELLEVELT
50.899893,4.385399,MARIENDAAL
50.789913,4.338799,GROELSTVELD
50.87471,4.33329,WOESTE
50.828579,4.333825,SERVIE
50.819177,4.283268,KLAVER
50.842725,4.317836,JACQUESBREL
50.826205,4.289699,FRANSHALS
50.843544,4.313384,KOLON.VETERANEN
50.793372,4.309999,DROGENBOS-SHOP.
50.865384,4.367758,GALLAIT
50.816234,4.335873,HOOGTEHONDERD
50.864431,4.371778,LEHON
50.828528,4.298556,VEEWEIDE
50.802314,4.324151,UKKEL-STALLE
50.860089,4.369264,SINT-MARIA
50.88547,4.332472,BRUGMANN-ZIEKENH.
50.879312,4.333755,KERKH.VANJETTE
50.881483,4.354458,KUNSTENAARS
50.816261,4.337633,HOOGTE100
50.795809,4.318347,STALLE(P)
50.851754,4.30046,MACHTENS
50.843233,4.354355,MAGDALENA
50.798675,4.313548,UKKELSPORT
50.877071,4.331647,VERBEYST
50.855491,4.346631,MARGUERITEDURAS
50.894778,4.380678,KRUIPWEG
50.832628,4.328906,VEEARTSEN
50.896595,4.376599,BEIZEGEM
50.896271,4.371994,VERSAILLES
50.895129,4.357751,DEWAND
50.825184,4.283518,MARIUSRENARD
50.885348,4.353234,SCHOLAEUROPEA
50.863832,4.403241,GENEVE
50.872161,4.289982,STATIONBERCHEM
50.829732,4.403331,PETILLON
50.8744,4.36091,MARIA-CHRISTINA
50.79236,4.348895,EIKENBOS
50.79831,4.343077,WOLVENDAEL
50.879051,4.403892,FONSON
50.801591,4.340593,MARLOW
50.880012,4.407132,VANCUTSEM
50.804785,4.368837,ST-ELIZABETH-ZKH.
50.798383,4.385149,VERGAARBAK
50.896412,4.421346,TWYENINCK
50.871438,4.399979,ONZE-LIEVE-VROUW
50.869728,4.307907,DEVILLEGAS
50.86148,4.392473,JOSAPHAT
50.851647,4.387125,BRABANCONNE
50.821872,4.329885,PIERREDECOSTER
50.812957,4.322694,MONACO
50.874152,4.403007,OUD-KAPELLEKE
50.827658,4.295798,DEBUSSY
50.901585,4.347433,ESPLANADE
50.898963,4.357207,FORUM
50.802176,4.316292,BEMPT
50.819551,4.336722,JUPITER
50.794791,4.306641,GILSON
50.813742,4.330585,MYSTERIE
50.847316,4.304414,BOMSTRAAT
50.809127,4.320825,STAT.VORST-OOST
50.896643,4.383384,CRAETBOS
50.816359,4.333887,STEEKSPEL
50.824921,4.35859,DRIEVULDIGHEID
50.829884,4.364025,VERLAAT
50.833219,4.366552,FERNANDCOCQ
50.806607,4.314443,MAXWALLER
50.869407,4.399921,CONSCIENCE
50.892106,4.395914,DRIEGATEN
50.847579,4.308958,SCHEUT
50.887775,4.384386,BIEBUYCK
50.912776,4.432925,MACHELEN
50.817588,4.26531,CLEMENCEEVERARD
50.884911,4.329588,CROCQ
50.878667,4.342494,JACOBSFONTAINE
50.885733,4.379612,VOORHAVEN
50.790363,4.340628,PAPENKASTEEL
50.796753,4.346159,DIEWEG
50.847297,4.361212,ROSAPARKS
50.89584,4.362783,PAGODEN
50.898433,4.401533,MARLY
50.895768,4.365589,LANGEBUNDER
50.833402,4.313294,BIESTEBROECK
50.818214,4.436513,SINT-ANNA
50.876365,4.338162,AMELIEGOMAND
50.918524,4.424595,MACHELENSTRAAT
50.889193,4.357137,KONINKL.SERRES
50.839766,4.312575,AUMALE
50.876467,4.383458,HUART-HAMOIR
50.897592,4.334295,HEIZEL
50.880625,4.401861,SINT-VINCENTIUS
50.892546,4.323333,TIRCHER
50.89932,4.341281,PALEIS12
50.878452,4.389995,CHAUMONTEL
50.877636,4.379054,SCHAARBEEKSTAT.
50.845749,4.3493,MANNEKEN-PIS
50.867837,4.377148,EENENS
50.889877,4.315769,AUDREYHEPBURN
50.825065,4.380135,ZKH.ETT.-ELSENE
50.8826,4.40709,VANDENHOVEN
50.797285,4.394014,RENBAANBOSVOORDE
50.827746,4.376628,GIST
50.829389,4.376204,WERY
50.853203,4.373496,HOUWAERT
50.863361,4.37736,HERMAN
50.87982,4.384156,ZENOBEGRAMME
50.892834,4.421413,HAREN
50.882853,4.330882,LORGE
50.882577,4.341384,PRINSLEOPOLD
50.809427,4.313018,SINT-DENIJS
50.862308,4.416194,ARTEMIS
50.864482,4.394293,BICHON
50.90383,4.386737,FERMENOSPILIFS
50.822575,4.354304,MACAMPAGNE
50.922931,4.413867,VLIERKENS
50.851241,4.344952,DANSAERT
50.813945,4.356293,MARIEDEPAGE
50.849177,4.32557,VIERWINDEN
50.849532,4.329607,HERTOGINBRABANT
50.851463,4.311353,DUBOIS
50.835413,4.363769,ST-BONIFAASWIJK
50.847651,4.36355,PARK
50.822673,4.347875,GEVANGENIS
50.827127,4.363428,BALJUW
50.852036,4.316437,JOSEPHBAECK
50.892117,4.417902,KORTENBACH
50.903427,4.425382,KASTEELBEAULIEU
50.871643,4.405932,LEKAERTS
50.901131,4.422318,WITLOOF
50.871958,4.40383,HOEDEMAEKERS
50.877435,4.421296,RAKET
50.835957,4.316949,VAARTBRUG
50.877097,4.401905,VREDE
50.84789,4.363782,TREURENBERG
50.845024,4.377555,MARIA-LOUIZA
50.870911,4.349332,ANDREEDEJONGH
50.847976,4.367781,DRUKPERS
50.864249,4.418199,BEGR.VANBRUSSEL
50.879537,4.396015,PICARDIE
50.861276,4.412642,GUILLAUME
50.87936,4.393349,CARLI
50.86793,4.406426,VRIJETIJD
50.865284,4.37756,ERNESTLAUDE
50.857194,4.375683,GEEFS
50.870897,4.407182,PERMEKE
50.853832,4.37351,BOSSUET
50.868823,4.395744,KURTH
50.851243,4.376463,BRAEMT
50.833174,4.378263,ZWEMKUNST
50.816883,4.375924,TERKAMEREN-STER
50.844123,4.359055,BOZAR
50.843259,4.346303,ROUPPE
